Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1060_1x2032,1,CR2032,
"C1, C2",0603,2,22uF,
"C10, C11, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C3, C4, C5, C6, C7, C8, C9",0402,23,0.1uF,
C12,0402,1,470pF,
"C13, C14",0402,2,22pF,
CART1,PCB_3-CART-72-2.50-CONN,1,EDGE-CONN-72-PIN-PCB_3,
"D1, D2, D3",D_MiniMELF,3,LL4148,
J1,PinHeader_1x06_P2.54mm_Horizontal,1,JTAG,
"R1, R3",0402,2,100k,
R2,0402,1,2.2k,
"RN1, RN10, RN11, RN12, RN13, RN14, RN2, RN3, RN4, RN5, RN6, RN7, RN8, RN9",R_Array_Concave_4x0402,14,100R,
U1,LQFP-144_20x20mm_P0.5mm,1,EPM1270T144,
U10,SOIC-8_5.3x5.3mm_P1.27mm,1,ATtiny13A-S,
U2,SOT-223-3_TabPin2,1,LD1117S33TR,
U3,TSOP-I-56_18.4x14mm_P0.5mm,1,S29GL01GP,
U4,SOIC-28W_7.5x17.9mm_P1.27mm,1,FM18W08-SG,
U5,TSOP-I-32_11.8x8mm_P0.5mm,1,LY62L2568,
"U6, U7",TSSOP-48_6.1x12.5mm_P0.5mm,2,74ALVC164245,
"U8, U9",TSSOP-24_4.4x7.8mm_P0.65mm,2,SN74AVC8T245PW,
